Industry_Average,Company Name,Ticker,Copmany_URL,% of 250 points,Company_Score,Environment_Resource,Social_Resource,Governance_Resource
,Gap,GPS,https://www.gap.com/,50.00%,125,https://www.gapincsustainability.com/environment,https://www.ehstoday.com/archive/article/21904221/gap-inc-admits-problems-vows-to-improve-working-conditions-at-garment-factories,https://www.gapinc.com/en-us/investors/governance
,Gucci ,GUC,https://www.gucci.com/us/en/,48.40%,121,https://www.edie.net/news/7/Gucci-cuts-negative-environmental-impacts-by-two-fifths/,https://www.washingtonpost.com/lifestyle/style/i-was-the-person-who-made-the-mistake-how-gucci-is-trying-to-recover-from-its-blackface-sweater-controversy/2019/05/06/04eccbb6-6f7d-11e9-8be0-ca575670e91c_story.html,https://www.reutersevents.com/sustainability/we-went-way-too-far-says-gucci-pandemic-forces-fashion-industry-take-stock
,H&M,HNNMY,https://www2.hm.com/en_us/index.html,72.80%,182,https://www.fastcompany.com/90596456/hm-is-one-of-fashions-biggest-polluters-now-its-on-a-100-million-quest-to-save-the-planet,https://www.independent.co.uk/news/business/news/hm-fast-fashion-boss-karl-johan-persson-environmental-damage-a9174121.html,https://hmgroup.com/about-us/corporate-governance/
,Hollister,ANF,https://www.hollisterco.com/shop/us,24.80%,62,https://www.hollister.com/en/about/environmentalresponsibility/reducingourfootprint,https://www.businessofbusiness.com/articles/hollister-suffers-from-lagging-social-data-interest-from-the-youths/,https://www.globenewswire.com/news-release/2020/12/01/2137492/0/en/Hollister-Announces-Long-Term-Partnership-and-200-000-Commitment-to-Help-Close-the-Education-Gap.html
,JCPenney,JCP,https://m.jcpenney.com/,14.80%,37,https://www.greenbiz.com/article/jcpenney-quiet-green-giant,https://www.cnn.com/2018/09/27/business/jcpenney-history,https://www.reuters.com/article/us-jcpenney-johnson/j-c-penney-board-comes-under-fire-for-ceo-switch-idUSBRE93713C20130409
,Kate Spade ,KATE,https://www.katespade.com/,18.80%,47,https://directory.goodonyou.eco/brand/kate-spade,https://magazine.wharton.upenn.edu/digital/kate-spade-social-impact-you-can-wear/,https://www.businessinsider.com/kate-spade-brand-faces-challenges-in-future-2018-6
,Kohl's,KSS,https://www.kohls.com/,16.40%,41,https://corporate.kohls.com/company/suppliers/environmental-solutions,https://www.cnbc.com/2020/03/03/heres-how-kohls-is-trying-to-fix-its-womens-business.html,https://investors.kohls.com/corporate-governance/overview/default.aspx
,Levi Strauss & Co,LEVI,https://www.levi.com/US/en_US/,47.80%,119.5,"https://twyg.co.za/what-is-levis-doing-about-its-social-and-environmental-responsibilities/#:~:text=A%20pair%20of%20Levi's%20has,pair%20of%20light%2Dwashed%20jeans.",https://www.thedrum.com/news/2018/09/04/levis-steps-up-social-issues-with-three-pronged-support-gun-control,https://www.sfchronicle.com/business/networth/article/Levi-s-IPO-plan-puts-its-good-governance-13614629.php
,Louis Vuitton,LVMUY,https://us.louisvuitton.com/eng-us/homepage,26.00%,65,https://wwd.com/sustainability/business/lvmh-environment-sustainability-life-360-antoine-arnault-helene-valade-1234671285/,https://www.coursehero.com/file/p7e6dd1/7-Louis-Vuitton-Future-Challenges-The-biggest-challenge-that-Louis-Vuitton-will/,https://www.lvmh.com/investors/investors-and-analysts/governance-sri/
,Lululemon,LULU,https://shop.lululemon.com/,45.60%,114,https://info.lululemon.com/sustainability/responsible-supply-chain/environmental-impacts,https://www.businesswire.com/news/home/20201028006148/en/lululemon-athletica-Inc.-Releases-Impact-Agenda-Unveiling-its-Social-and-Environmental-Goals-and-Strategies-to-Create-a-Healthier-Future,https://www.fool.com/investing/general/2014/06/26/it-is-time-to-look-at-lululemons-corporate-governa.aspx
,Macy's,M,https://www.macys.com/,15.60%,39,https://chainstoreage.com/news/macys-steps-sustainability-efforts,https://www.forbes.com/sites/christopherwalton/2019/08/22/whats-wrong-at-macys-look-to-story-for-a-clue/,https://www.macysinc.com/investors/corporate-governance
,Marks & Spencer ,MAKSY,https://www.marksandspencer.com/us/,59.60%,149,"https://www.theguardian.com/environment/2012/jun/07/marks-spencer-carbon-neutral-sustainability#:~:text=The%20social%20and%20environmental%20issues,sourcing%20of%20timber%20and%20fish.",https://www.bbc.com/news/business-53478403,http://corporate.marksandspencer.com/investors/corporate-governance
,Michael Kors,CPRI,https://www.michaelkors.com/,7.60%,19,https://footwearnews.com/2020/business/sustainability/capri-holdings-corporate-social-responsibility-goals-1202970747/,https://digiday.com/marketing/michael-kors-snapchat/,https://esg.censible.co/companies/Michael-Kors-Holdings-environmental-social-corporate-governance-profile
,Moncler,MONRY,https://www.moncler.com/,18.80%,47,https://www.monclergroup.com/en/sustainability/environment/environmental-policy-and-management-system,https://www.voguebusiness.com/sustainability/moncler-close-to-carbon-neutral-goal,https://www.monclergroup.com/wp-content/uploads/2016/07/Moncler-S.p.A.-Report-on-Corporate-Governance-2020-1.pdf
,Neiman Marcus ,NMG,https://www.neimanmarcus.com/,6.40%,16,https://www.chainstoreage.com/news/energy-savings-never-out-style-neiman-marcus/,https://www.forbes.com/sites/roxannerobinson/2020/05/12/neiman-marcus-to-court-millennial-and-gen-z-customer/,https://www.cnbc.com/2020/05/07/neiman-marcus-files-for-bankruptcy.html
,New Balance,SCVL,https://www.newbalance.com/,48.40%,121,"https://directory.goodonyou.eco/brand/new-balance#:~:text=New%20Balance's%20environment%20rating%20is,deforestation%20in%20the%20supply%20chain.",https://www.entrepreneur.com/article/285346,https://www.newbalance.com/responsible-leadership/who-we-are.html
,Nike,NIKE,https://www.nike.com/,55.20%,138,http://blogs.cofc.edu/envt-200-03/2018/03/07/the-impact-of-nike-shoes/,https://www.businessinsider.com/nike-ceo-john-donahoe-how-company-responds-colin-kaepernick-controversy-2020-2,https://purpose.nike.com/sustainability-governance
,Nordstrom ,JWN,https://www.nordstrom.com/,22.20%,55.5,https://press.nordstrom.com/news-releases/news-release-details/nordstrom-expands-commitment-protect-environment-new-sustainable,https://www.mytotalretail.com/article/why-nordstrom-is-prioritizing-corporate-social-responsibility/,https://www.wsj.com/articles/nordstrom-did-so-much-right-but-its-still-in-trouble-11566136185
,Old Navy ,GPS,https://oldnavy.gap.com/,50.00%,125,https://goodonyou.eco/how-ethical-is-old-navy/,https://stylewise-blog.com/is-old-navy-ethical/,https://www.businessinsider.com/old-navy-struggled-after-gap-success-story-2019-11
,Patagonia,PATAF,https://www.patagonia.com/home/,60.40%,151,https://journal.businesstoday.org/bt-online/2018/patagonias-approach-to-environmental-responsibility,https://www.patagonia.com/our-footprint/corporate-social-responsibility-history.html,https://www.greenbiz.com/article/governance-unexplored-secret-behind-patagonias-business-success
,Prada,PRDSY,https://www.prada.com/us/en.html,18.20%,45.5,https://www.vogue.co.uk/fashion/article/pradas-sustainability-initiatives,https://www.independent.co.uk/life-style/fashion/prada-sustainability-eco-friendly-deal-fashion-luxury-agricole-group-a9187226.html,https://morphicasset.com/pradas-devilish-governance-is-out-of-fashion/
,Ralph Lauren,RL,https://www.ralphlauren.com/,27.00%,67.5,https://corporate.ralphlauren.com/citizenship-protect-the-environment,https://www.voguebusiness.com/companies/how-ralph-lauren-does-diversity,https://www.marketscreener.com/quote/stock/RALPH-LAUREN-CORPORATION-14256/news/Ralph-Lauren-Nominating-Governance-Citizenship-Sustainability-Committee-28626654/
,Reebok ,ADDYY,https://www.reebok.com/us,69.40%,173.5,https://directory.goodonyou.eco/brand/reebok,https://www.chatelaine.com/opinion/reebok-advertising-campaign/,https://www.thehindubusinessline.com/companies/reebok-india-case-corporate-mismanagement-led-to-scam/article20505107.ece1
,SAINT LAURENT,KERPA,https://www.ysl.com/,46.80%,117,https://www.voguebusiness.com/fashion/saint-laurent-resort-mens-spring-summer-2020-malibu,https://www.bbc.com/culture/article/20181005-yves-saint-laurents-ultimate-obsession,https://www.ysl.com/en-us/legal-notices/name/modern-slavery-act-kering-statement.html
,Skechers,SKX,https://www.skechers.com/,8.20%,20.5,"https://us.fashionnetwork.com/news/Skechers-delivers-sustainability-results-with-85-plastic-reduction-in-its-footwear,1142401.html#:~:text=Skechers%20delivers%20sustainability%20results%20with%2085%25%20plastic%20reduction%20in%20its%20footwear,-By&text=As%20environmental%20impact%20continues%20to,its%20footwear%20packaging%20by%2085%25.",https://about.skechers.com/sustainability/,https://www.nytimes.com/2014/06/01/business/not-walking-the-walk-on-board-diversity.html
,Speedo,PVH,https://www.speedousa.com/,33.80%,84.5,"https://directory.goodonyou.eco/brand/speedo#:~:text=Its%20environment%20rating%20is%20'not,minimise%20the%20impacts%20of%20microplastics.",https://digital.hbs.edu/platform-rctom/submission/speedo-inspiring-everyone-to-dive-in/,https://www.nasdaq.com/articles/speedo-looking-into-report-of-human-rights-violations-at-indian-partner-page-2020-09-03
,Target,TGT,https://www.target.com/,37.40%,93.5,"https://chainstoreage.com/target-focuses-sustainability-efforts-energy-packaging-workers#:~:text=This%20year%2C%20Target%20is%20doubling,reusable%20or%20compostable%20by%202025.",https://corporate.target.com/corporate-responsibility/civic-activity/issues-advocacy,https://investors.target.com/news-releases/news-release-details/target-corporation-advises-shareholders-not-be-fooled-pershing
,The Children's Place,PLCE,https://www.childrensplace.com/us/home,9.00%,22.5,https://corporate.childrensplace.com/environment,https://www.forbes.com/sites/joanverdon/2019/08/21/the-childrens-place-needs-to-worry-about-markdowns-malls-and-angry-moms/,https://corporate.childrensplace.com/governance
,THe North Face,VFC,https://www.thenorthface.com/,58.60%,146.5,https://www.cnbc.com/2020/08/14/as-north-face-battles-patagonia-it-bets-climate-change-will-pay-off.html,https://www.thenorthface.com/about-us/responsibility/product/social-responsibility.html,https://www.retailwire.com/discussion/north-face-called-out-for-virtue-signaling/
,Timberland,TBL,https://www.timberland.com/homepage.html,58.80%,147,https://www.environmentalleader.com/projects_of_year/timberland/,https://www.timberland.com/responsibility.html,https://saylordotorg.github.io/text_the-sustainable-business-case-book/s15-case-accounting-for-sustainabi.html
,TJ Maxx,TJX,https://tjmaxx.tjx.com/store/index.jsp,15.20%,38,https://www.tjx.com/responsibility/environment,https://www.cnn.com/2020/05/29/business/tj-maxx-marshalls-social-distance/index.html,https://www.barrons.com/articles/tjx-stock-earnings-downgrade-51614265319
,UGG,DECK,https://www.ugg.com/,17.40%,43.5,https://www.peta.org/living/personal-care-fashion/ugg-boots/,https://www.inc.com/brit-morse/ugg-founder-brian-smith-marketing-lessons.html,https://www.huffpost.com/entry/ugg-boots-the-controversi_b_742649
,Uniqlo ,FRCOY,https://www.uniqlo.com/us/en/home/,39.60%,99,"https://www.eco-stylist.com/how-sustainable-is-uniqlo/#:~:text=Reports%20include%20energy%20use%2C%20water,several%20specific%20store%2Ffactory%20locations.",https://waronwant.org/news-analysis/reality-behind-uniqlos-corporate-social-responsibility-promises,https://www.uniqlo.com/us/en/news/topics/2020120702/
,Urban Outfitters,URBN,https://www.urbanoutfitters.com/,20.20%,50.5,https://goodonyou.eco/how-ethical-is-urban-outfitters/,https://studybreaks.com/culture/how-and-why-you-should-be-boycotting-urban-outfitters/,https://www.inquirer.com/philly/business/20170502_Urban_Outfitters_board_gets_called_out_by_investment_group.html
,Vans,VANS,https://www.vans.com/,58.60%,146.5,https://goodonyou.eco/how-ethical-is-vans/,https://www.forbes.com/sites/simonmainwaring/2020/09/24/purpose-at-work-how-vans-unlocks-growth-and-impact-through-a-genuine-commitment-to-community/,https://www.cnn.com/style/article/vans-hong-kong-intl-hnk-scli/index.html
,Victoria's Secret,LB,https://www.victoriassecret.com/us/,21.20%,53,https://digital.hbs.edu/platform-rctom/submission/victoria-dont-keep-a-sustainable-supply-chain-story-a-secret/,https://www.nytimes.com/2020/02/01/business/victorias-secret-razek-harassment.html,https://nypost.com/2019/04/19/victorias-secrets-biggest-problem-may-be-l-brands-leadership/
,Walmart ,WMT,https://www.walmart.com/,28.00%,70,https://ilsr.org/wp-content/uploads/2012/04/topten-walmartsustainability.pdf,https://www.forbes.com/sites/hankcardello/2019/11/26/is-walmart-americas-new-social-conscience/,https://corporate.walmart.com/esgreport/governance
,Zara,IDEXF,https://www.zara.com/us/,44.20%,110.5,https://www.vox.com/2019/9/12/20860620/fast-fashion-zara-hm-forever-21-boohoo-environment-cost,https://www.dw.com/en/zaras-fast-fashion-problem-in-focus/a-52161858,https://www.bartleby.com/essay/The-Corporate-Governance-Of-Zara-PKKVX95ZLC5W
